"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AAPL"
2016-11-17,0.089694142844,1.65907913055854,-4.56945973936209,-6.11743660103572,-2.9092637112095,-4.10623584021323,1.1158822589499
2016-11-18,-1.0718789407,1.55917040728785,-4.28722243866846,-5.74185851348669,-2.72737994692395,-3.85190468957027,0.724470300635288
2016-11-21,-0.90139306203,1.3635950894312,-3.73510099348119,-5.0070007282648,-2.3712560602311,-3.35433622002991,0.727331494715026
2016-11-22,1.4424843808,1.27684591934216,-3.49041115043846,-4.68130365566161,-2.21341068147886,-3.13382362241309,0.558513746554488
2016-11-23,0.58871479032,1.17077890232218,-3.19233011906217,-4.28463258823696,-2.02051087985436,-2.86516270544375,0.639533625920936
2016-11-25,-0.16207455428,1.10853327920067,-3.01658584660479,-4.05080851874635,-1.90701677210292,-2.70682068635112,0.222589703142119
2016-11-28,-2.7867965368,1.07546478767467,-2.92404869235128,-3.92764923963052,-1.84712881104672,-2.62341418595405,0.483294969474867
2016-11-29,0.5937471009,0.992225573237371,-2.7066307620407,-3.61912152471555,-1.70579932717934,-2.42090550844412,0.769250894904217
2016-11-30,-2.5085308494,0.998995074821729,-2.72501921816739,-3.6435647398874,-1.71760419580521,-2.43733684508315,1.12211220552832
2016-12-01,1.3243780153,1.02636080651735,-2.80275416578948,-3.74660258253897,-1.77357175769754,-2.51341477246734,1.32444633567183
2016-12-02,2.6888245729,1.08504962562353,-2.96890699886779,-3.96669261702871,-1.88107840534704,-2.66312417481193,1.18119419663951
2016-12-05,-0.03636694255,1.13751203428734,-3.11713396670454,-4.16292133231857,-1.97659446413712,-2.79643765056843,1.29363672256481
2016-12-06,0.10004547548,1.17320317765005,-3.19811210813653,-4.25716294026922,-2.03541818749428,-2.87011462028744,0.693259461985731
2016-12-07,1.5173541704,1.21922090380715,-3.32819379391624,-4.42888522849459,-2.11992501537492,-2.98728392336739,0.900094179703429
2016-12-08,0.062651033841,1.17176631635367,-3.19389993469665,-4.25167253952239,-2.03288318102498,-2.86626714416888,0.80212484621234
2016-12-09,-0.50983899828,1.1759554811396,-3.20565383174554,-4.26723799150563,-2.04065668685093,-2.87679936167903,0.997379429195479
