"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2014-03-20,-0.30242692919,1.62801662014248,1.59146431533168,1.4221837442321,-3.80923888344001,-3.66591635441125,-3.24010440168989,-5.15197979104399,-4.9226952892898,-4.38471371849665,-2.32602095726566,-2.25800038780095,-2.03957235102279,-3.31966516512766,-3.17940062806074,-2.83760351009971,0.78294232984666
2014-03-21,-0.058407913366,1.59948034069992,1.60968574712132,1.38652930988514,-3.74127006887945,-3.70471956108914,-3.15122082143173,-5.06103445050677,-4.96492181485469,-4.26790564113737,-2.28191812493792,-2.26668420642576,-1.97588689014763,-3.25976433475825,-3.21316593666418,-2.75937905552216,0.567979767106379
2014-03-24,0.090490913317,1.57147977530201,1.52668578952044,1.34179133044018,-3.6722482022708,-3.50371207076099,-3.04442408154572,-4.96621715354729,-4.63062064836123,-4.12762501591408,-2.23725837056154,-2.10255571929573,-1.90740733149508,-3.19805672580561,-2.97563597807964,-2.66792436117666,1.42580365382633
2014-03-25,0.97378136052,1.54074215194691,1.50627688899161,1.29709821044952,-3.59869412682969,-3.48281054275351,-2.93304550730349,-4.86762682681623,-4.68518866995161,-3.98140039046415,-2.1887715664074,-2.14672072630936,-1.83555158715598,-3.13314142989741,-3.01597098651286,-2.57077589709376,0.873731294288746
2014-03-26,0.096998638401,1.52213842817454,1.55227111865006,1.28601802122006,-3.55364599435328,-3.56529012888818,-2.90414005414792,-4.80764524089699,-4.78796700900057,-3.9439947017272,-2.15913025015543,-2.19261599864861,-1.81765502174632,-3.09362907966909,-3.09395053039497,-2.54591586145222,0.928365677311293
2014-03-27,-1.1106762827,1.49496581057321,1.47357693455504,1.24243591040012,-3.4867759923077,-3.454024936902,-2.80006545932212,-4.71704297885254,-4.60478398989809,-3.80627906235864,-2.11608590924373,-2.08814315079149,-1.75189278058339,-3.03456293612288,-2.96221113297918,-2.45604926945187,1.15142147241198
2014-03-28,-1.1231508527,1.49687241222827,1.47598806282592,1.28045596092695,-3.49106097973447,-3.49178897584984,-2.89254896572515,-4.72318487434019,-4.6258866022609,-3.92822864189735,-2.11886191569549,-2.09531885976411,-1.80983969997799,-3.03842734950013,-2.97645881536562,-2.53657794450052,0.55406870564968
2014-03-31,0.39070689363,1.4994064955187,1.48104659240732,1.31585571820594,-3.49673400107924,-3.50743886688494,-2.97861275811605,-4.73112652225445,-4.64065846783423,-4.04181834510521,-2.12259226577285,-2.10201480733535,-1.86524693256353,-3.04350858245111,-2.98154940050355,-2.61181446088395,0.59532731195429
2014-04-01,0.88468694248,1.47134038434561,1.45457387256245,1.27403137303511,-3.42957134462651,-3.44547085422773,-2.87492762175388,-4.64095670943557,-4.55599786964798,-3.90559514744,-2.0785179752593,-2.04852228854832,-1.7999204944411,-2.98409641543127,-2.92495967602523,-2.52111503073096,0.485946709253163
2014-04-02,-0.026345502465,1.45350392086208,1.45382534290065,1.25824058953422,-3.38619872877649,-3.44558401129269,-2.83525840731984,-4.58278522913922,-4.54946875111724,-3.85364531258651,-2.05178665713159,-2.03998386740254,-1.77540949739226,-2.94583987787511,-2.91916553342502,-2.48683962953993,0.600555989120526
