"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_APPLE"
2013-09-03,0.27995796536,1.30166482303667,-3.32105101099023,-4.84988107735035,-2.24589136744781,-3.70294999160743,1.76995582494722
2013-09-04,2.0694666175,1.31992340585271,-3.370270657468,-4.86073851679643,-2.28002460584314,-3.72276132626747,1.24252561352416
2013-09-05,-0.68599593733,1.40153697032197,-3.59029089446726,-5.07995806809174,-2.43257714282166,-3.9391774691504,0.547230677857559
2013-09-06,0.5956347044,1.33188138735294,-3.40360704740836,-4.90403723191838,-2.30324618530319,-3.76674066007138,1.23919541314581
2013-09-09,1.595680623,1.21317517473304,-3.0834312045079,-4.66137162650377,-2.08122491337157,-3.52224115085224,0.756656473286413
2013-09-10,-2.2778908271,1.27605063042164,-3.25235182968374,-4.79654270544247,-2.19828592028038,-3.643313949025,4.84918096037701
2013-09-11,-5.4443635777,1.23304107143108,-3.1369159939627,-4.72253163060131,-2.12959904583372,-3.56189705016503,2.17738937705685
2013-09-12,1.0647623529,1.61273187908076,-4.19791547972324,-5.85731364159054,-2.85944269043889,-4.44911330557541,1.58204671161462
2013-09-13,-1.648014555,1.497060084738,-3.8839838679527,-5.43110981579381,-2.64109594290552,-4.20165110939346,0.73129456179077
2013-09-16,-3.1791783178,1.50012377167971,-3.89253166838511,-5.43110981579381,-2.64715359393713,-4.21633337975519,1.8949571433866
2013-09-17,1.1552474894,1.42341421722654,-3.68499366329247,-5.19954341439204,-2.51105956942338,-4.04613527887932,1.8084312616076
2013-09-18,2.0556970921,1.53311243725588,-3.9826563502833,-5.52809889327912,-2.71809593420535,-4.29470124496238,2.26908540939462
2013-09-19,1.6398381682,1.41494350692633,-3.66227039324478,-5.18608152927632,-2.49524944523171,-4.00802410691728,0.816586606564851
2013-09-20,-1.035358882,1.44913434336948,-3.75574517619404,-5.24001530658182,-2.55993330058477,-4.105848385325,1.13607584061769
2013-09-23,4.9699407373,1.32571117359068,-3.42157912646122,-4.94156966943955,-2.32089116213762,-3.7912917495605,3.2294049071739
2013-09-24,-0.31387575409,1.36239741110131,-3.51981079690761,-5.0008460307315,-2.38983728884277,-3.86811718188485,1.6793806111852
2013-09-25,-1.5477407484,1.54263750878535,-4.00953001045322,-5.57189002067931,-2.73054700848826,-4.30030669059045,1.62925631139584
