"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_AMZN"
2012-12-07,-0.040217863261,3.85158934022199,3.64652788690904,5.06607041102246,1.49643964635931
2012-12-10,-2.1708616284,3.80556630744853,3.45472368777407,5.05382872908871,1.82358939317116
2012-12-11,1.1785123299,3.76487678892058,3.28787732939418,4.99580612444891,2.70640283727327
2012-12-12,0.42682197127,3.81420855267617,3.5137749553684,5.21782536638521,1.92775545610662
2012-12-13,-0.20257387978,3.77940681377276,3.46614141127461,5.036027767859,1.72684045526326
2012-12-14,-0.81990049757,3.72401017158802,3.31033498733541,4.97461190543378,1.12988578576508
2012-12-17,1.8740719934,3.66758208286251,3.14052046616628,4.9145508011367,1.44294565514507
2012-12-18,2.5762231151,3.65242143901772,3.08330652392503,4.90812248904163,2.70020951875972
2012-12-19,-0.92549923183,3.68372244272915,3.23115844397373,4.98865981755768,1.72543364300204
2012-12-20,1.3605178494,3.73888380801551,3.52596180887527,5.17796047225268,1.5613693071154
2012-12-21,-1.7514340344,3.71349225823294,3.45577171020364,4.9471896847247,1.91905050616802
2012-12-24,0.66168457106,3.70290952066236,3.46788769045484,4.93532200593766,1.07181461383669
2012-12-26,-3.8622689661,3.70733491321878,3.59459777970048,5.0282647815747,2.17106074306164
2012-12-27,-0.12926766285,3.69645076712074,3.47404577088402,4.89058097099125,3.64522102759125
2012-12-28,-1.2605211228,3.9194584694448,4.00217857250053,6.4616521905628,2.00043141718135
2012-12-31,2.3207439433,3.86705974260077,3.79118013271134,5.06285303697196,3.75279254671509
2013-01-02,2.5670666082,3.8617008169925,3.80105981269353,5.07432101020365,2.38724905442002
2013-01-03,0.45470444202,3.90176906405451,4.05092090433218,5.20381258908238,1.34809943074255
2013-01-04,0.25920767548,3.9431101829931,4.3343213165877,5.30354330772482,1.2785375330089
2013-01-07,3.5922052864,3.87948575458478,4.1275460033603,5.05426236576434,2.27442834106344
2013-01-08,-0.77449385235,3.85084606204182,3.93563656885211,5.02420505661257,1.99892590858623
2013-01-09,-0.011262106636,3.9925726437137,4.4358201894384,5.84521261032188,1.73013666862283
2013-01-10,-0.37920030045,3.9360097595961,4.27364953389399,5.17030229704358,2.35656608265773
2013-01-11,0.97987487752,3.86800686294145,4.06596489846561,5.08653763848479,1.31207517991635
2013-01-14,1.7877136674,3.80882064601235,3.87332912822088,5.02733137780875,2.73249581529826
2013-01-15,-0.30433029015,3.78468000137479,3.77070393624108,5.03430076441352,1.42063389544053
2013-01-16,-1.0923133504,3.7640966786778,3.87648218615121,5.0579154533921,1.02776545452691
2013-01-17,0.57635816011,3.72640021583808,3.68757538299683,4.96635637032829,1.17285099177659
2013-01-18,0.60632948826,3.69336113237876,3.66149012114623,4.92339520827766,1.79773799920314
2013-01-22,-0.70924592092,3.65275712596424,3.48215348770868,4.88915553383118,0.778920224845221
2013-01-23,-0.7698286392,3.59624834170565,3.34150457909895,4.80166158036517,1.0591375492912
2013-01-24,2.0551266272,3.5707807994762,3.22898062482021,4.8345061181639,2.98288827476818
2013-01-25,3.7899276369,3.54613593245379,3.16100419682408,4.83028784691402,1.79425819311801
2013-01-28,-2.7993943449,3.59394668518003,3.36620872740195,4.96078077995866,3.6714357442969
2013-01-29,-5.6839588465,3.79811702346358,3.86091797227783,6.06954877883583,3.7139808700605
2013-01-30,4.7681966584,3.94361794663276,4.27526751266311,5.75870900840575,13.6817268366374
2013-01-31,-2.6631080347,4.50209564850034,5.12396922311153,13.4215642205738,4.32468313602159
2013-02-01,-0.18832391715,4.82264122033885,5.93255723542866,12.92907276386,2.40982339940852
2013-02-04,-1.8943396227,4.85975750834786,6.21668977803885,7.33698349329898,2.56472477642784
2013-02-05,2.6578967614,4.79758172223747,5.88595182851552,5.80591694754769,3.15762900598015
2013-02-06,-1.7497845554,4.80857992804244,5.99229493726522,5.85374588820207,1.78206247574258
2013-02-07,-0.75890473654,4.85393772485831,6.31140564633084,5.99659535300539,3.69612273970065
2013-02-08,0.66095377169,4.82512364746754,6.31211761517382,5.88223767289033,1.93156716394822
2013-02-11,-1.8095056309,4.75016836444118,6.04378644951276,5.74463803058961,2.2294056466979
2013-02-12,0.57929318464,4.68642698530903,5.76636772091298,5.69293884215471,1.67317399026925
2013-02-13,4.1631233089,4.66425005151898,5.82500442731394,5.78382442293792,3.25211111575321
