"Date","Returns","Sigma2_HAR","RV_AMZN"
2014-08-19,0.17935611177,1.67238981000009,0.555827783840821
2014-08-20,0.19395458476,1.46253227112591,1.01565950118002
2014-08-21,-0.8547263089,1.32022358997135,0.733393391680715
2014-08-22,-0.39650355957,1.35728020118171,0.783844494479455
2014-08-25,0.73283271504,1.28074095984141,0.63365297380866
2014-08-26,2.3381833424,1.20564205033081,1.35675173617636
2014-08-27,0.3949331538,1.13363113529365,1.03982772764493
2014-08-28,-0.9207995804,1.37037407662392,0.792285439396783
2014-08-29,-0.28821834003,1.28458917702571,0.75481476046307
2014-09-02,0.9851344972,1.22541480075345,1.07108424900835
2014-09-03,-0.98720719652,1.20557283044215,0.994571135143924
2014-09-04,2.0501474926,1.33096720151285,2.53124248417251
2014-09-05,0.12429541839,1.26652831876746,1.21719262038939
2014-09-08,-1.1663490965,1.82311954564416,1.44711108846222
2014-09-09,-3.6776304258,1.53111151375554,1.90610976932556
2014-09-10,0.47915087198,1.66369114016359,1.95887051931101
2014-09-11,-0.24446926027,1.87111980176293,1.53087101347646
2014-09-12,0.20271087978,1.99186946198284,1.49204121846564
2014-09-15,-2.2041728313,1.77805768201384,2.55207954816661
2014-09-16,1.1948501033,1.79948142432952,1.86002951037346
2014-09-17,-1.1471808641,2.1933095199652,2.16202549191249
2014-09-18,0.30864197543,2.02012801151707,1.11697349313431
2014-09-19,1.9446153845,2.12191273056247,2.28403233519182
2014-09-22,-2.0584329348,1.8147135537423,2.62362808754202
2014-09-23,-0.26810477675,2.20686609523455,2.70542026986482
2014-09-24,1.4151963664,2.30969568897622,2.04181714728681
2014-09-25,-1.9134090978,2.43410019979885,2.19860949565377
2014-09-26,0.39760196305,2.26072191803017,2.55641601894344
2014-09-29,-0.43006095102,2.42813590184106,1.75468042377456
2014-09-30,0.19265427873,2.5541869036739,2.10909192578911
2014-10-01,-1.5444733904,2.26050386638247,2.14336438517284
2014-10-02,0.29925029939,2.29319746474843,2.22608547446172
2014-10-03,1.3598819132,2.3195380589586,1.59375633469693
2014-10-06,-0.16731734522,2.35029348341283,1.83922616732534
2014-10-07,-1.620111732,2.08878866127674,2.03012691375756
2014-10-08,1.8045302544,2.15635421297703,3.10991654966204
2014-10-09,-2.2714595601,2.20047578997831,3.31351860232865
2014-10-10,-1.2620097028,2.58996296647316,3.03800247266074
2014-10-13,-1.5864350171,2.7687661994662,4.16449791791491
2014-10-14,0.60695056272,2.86448382449475,3.62694603586248
2014-10-15,-0.75897635488,3.41906962454671,6.65174147229204
2014-10-16,-1.0164395203,3.47287938650177,7.38930153602958
2014-10-17,0.25754474009,4.65107668844898,2.59847375366498
2014-10-20,0.8463970491,5.31479580129769,2.05192613089808
2014-10-21,2.9783481925,4.0571239892823,1.33941391410543
2014-10-22,-0.74842228769,3.69127281147713,2.64578409521994
2014-10-23,0.067099083026,3.25537483041348,2.14136755718277
2014-10-24,-8.3402516125,3.14649679358522,8.40399249636352
2014-10-27,1.0137253537,2.44401319178326,2.50252835445038
2014-10-28,1.9381315307,4.69837801098152,1.42191059916479
2014-10-29,-0.49731046374,3.25748191443233,2.40419607989697
2014-10-30,1.6829865359,2.98407331911268,1.79908885555745
2014-10-31,2.1366235331,3.20939759033524,1.44976172044289
2014-11-03,0.085117527669,3.01633715034975,1.20556383999828
2014-11-04,-0.95185136734,2.16295938030284,0.896472145787909
2014-11-05,-2.0772101318,1.95350154514332,2.22377970613024
2014-11-06,0.040469445594,1.81386961083575,2.14578488376365
